Province,District,PollingCenter,provId,distId,PC Code,psId,TotalVoters,TotalMale,TotalFemale,Kochi,Gender,PS #,voters
KABUL,Nahia 02,Imam Azam Mosque,01,010102,0101025,0101025-04,1342,773,569,2,F,04,284
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-01,3794,2867,927,2,M,01,400
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-02,3794,2867,927,2,M,02,400
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-03,3794,2867,927,2,M,03,400
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-04,3794,2867,927,2,M,04,400
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-05,3794,2867,927,2,M,05,400
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-06,3794,2867,927,2,M,06,400
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-07,3794,2867,927,2,M,07,234
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-08,3794,2867,927,2,M,08,233
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-09,3794,2867,927,2,F,09,400
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-10,3794,2867,927,2,F,10,264
KABUL,Nahia 02,Zabihullah Shaheed High School,01,010102,0101026,0101026-11,3794,2867,927,2,F,11,263
KABUL,Nahia 02,Saad bin Abi Waqas Mosque,01,010102,0101027,0101027-01,1054,678,376,0,M,01,339
KABUL,Nahia 02,Saad bin Abi Waqas Mosque,01,010102,0101027,0101027-02,1054,678,376,0,M,02,339
KABUL,Nahia 02,Saad bin Abi Waqas Mosque,01,010102,0101027,0101027-03,1054,678,376,0,F,03,376
KABUL,Nahia 02,Wazeer Mohammad Akbar Khan Secondary School,01,010102,0101028,0101028-01,1544,1074,470,1,M,01,400
KABUL,Nahia 02,Wazeer Mohammad Akbar Khan Secondary School,01,010102,0101028,0101028-02,1544,1074,470,1,M,02,337
KABUL,Nahia 02,Wazeer Mohammad Akbar Khan Secondary School,01,010102,0101028,0101028-03,1544,1074,470,1,M,03,337
KABUL,Nahia 02,Wazeer Mohammad Akbar Khan Secondary School,01,010102,0101028,0101028-04,1544,1074,470,1,F,04,235
KABUL,Nahia 02,Wazeer Mohammad Akbar Khan Secondary School,01,010102,0101028,0101028-05,1544,1074,470,1,F,05,235
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-01,4875,3866,1009,29,M,01,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-02,4875,3866,1009,29,M,02,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-03,4875,3866,1009,29,M,03,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-04,4875,3866,1009,29,M,04,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-05,4875,3866,1009,29,M,05,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-06,4875,3866,1009,29,M,06,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-07,4875,3866,1009,29,M,07,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-08,4875,3866,1009,29,M,08,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-09,4875,3866,1009,29,M,09,333
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-10,4875,3866,1009,29,M,10,333
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-11,4875,3866,1009,29,F,11,400
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-12,4875,3866,1009,29,F,12,305
KABUL,Nahia 02,Naderia High School,01,010102,0101029,0101029-13,4875,3866,1009,29,F,13,304
KABUL,Nahia 02,Omer Farooq Mosque,01,010102,0101030,0101030-01,2751,2074,677,1,M,01,400
KABUL,Nahia 02,Omer Farooq Mosque,01,010102,0101030,0101030-02,2751,2074,677,1,M,02,400
KABUL,Nahia 02,Omer Farooq Mosque,01,010102,0101030,0101030-03,2751,2074,677,1,M,03,400
KABUL,Nahia 02,Omer Farooq Mosque,01,010102,0101030,0101030-04,2751,2074,677,1,M,04,400
KABUL,Nahia 02,Omer Farooq Mosque,01,010102,0101030,0101030-05,2751,2074,677,1,M,05,237
KABUL,Nahia 02,Omer Farooq Mosque,01,010102,0101030,0101030-06,2751,2074,677,1,M,06,237
KABUL,Nahia 02,Omer Farooq Mosque,01,010102,0101030,0101030-07,2751,2074,677,1,F,07,339
KABUL,Nahia 02,Omer Farooq Mosque,01,010102,0101030,0101030-08,2751,2074,677,1,F,08,338
KABUL,Nahia 02,Maaz ibne Jabal Mosque,01,010102,0101031,0101031-01,915,627,288,1,M,01,314
KABUL,Nahia 02,Maaz ibne Jabal Mosque,01,010102,0101031,0101031-02,915,627,288,1,M,02,313
KABUL,Nahia 02,Maaz ibne Jabal Mosque,01,010102,0101031,0101031-03,915,627,288,1,F,03,288
KABUL,Nahia 02,Abdullah bin Masoud Mosque,01,010102,0101032,0101032-01,2069,1676,393,6,M,01,400
KABUL,Nahia 02,Abdullah bin Masoud Mosque,01,010102,0101032,0101032-02,2069,1676,393,6,M,02,400
KABUL,Nahia 02,Abdullah bin Masoud Mosque,01,010102,0101032,0101032-03,2069,1676,393,6,M,03,400
KABUL,Nahia 02,Abdullah bin Masoud Mosque,01,010102,0101032,0101032-04,2069,1676,393,6,M,04,238
