provId,id,name,totalVoters,geoId
32,320103,PROVINCIAL CAPITAL OF HERAT (HERAT),14106,3201
32,320104,PROVINCIAL CAPITAL OF HERAT (HERAT),8397,3201
32,320105,PROVINCIAL CAPITAL OF HERAT (HERAT),30963,3201
32,320106,PROVINCIAL CAPITAL OF HERAT (HERAT),18702,3201
32,320107,PROVINCIAL CAPITAL OF HERAT (HERAT),19360,3201
32,320108,PROVINCIAL CAPITAL OF HERAT (HERAT),16029,3201
32,320109,PROVINCIAL CAPITAL OF HERAT (HERAT),12936,3201
32,320110,PROVINCIAL CAPITAL OF HERAT (HERAT),12472,3201
32,320111,PROVINCIAL CAPITAL OF HERAT (HERAT),13975,3201
32,320112,PROVINCIAL CAPITAL OF HERAT (HERAT),22294,3201
32,320113,PROVINCIAL CAPITAL OF HERAT (HERAT),23075,3201
32,320114,PROVINCIAL CAPITAL OF HERAT (HERAT),4708,3201
32,320115,PROVINCIAL CAPITAL OF HERAT (HERAT),4749,3201
33,3301,PROVINCIAL CAPITAL OF FARAH (FARAH),52108,3301
33,3302,PUSHTRUD,274,3302
33,3303,KHAK-E-SAFED,1563,3303
33,3304,QALA-E-KAH,1035,3304
33,3305,SHIB KOH,322,3305
33,3306,BALA BULUK,3054,3306
33,3307,ANAR DARA,1833,3307
33,3308,BAKWA,607,3308
33,3309,LASH-E-JUWAYN,5153,3309
33,3310,GULISTAN,662,3310
33,3311,PUR CHAMAN,2027,3311
34,3401,PROVINCIAL CAPITAL OF NIMROZ (ZARANJ),47760,3401
34,3402,KANG,9946,3402
34,3403,ASL-E-CHAKHANSUR,8495,3403
34,3404,CHAR BURJAK,8198,3404
34,3405,KHASHROD,7081,3405
34,3406,DULARAM,10460,3406
