id,name,distId,provId,distName,voters_total,stations_total,voters_male,stations_male,stations_male-400-count,stations_male-400,stations_male-400-none,station_male-last-a,station_male-last-b,voters_female,stations_female,stations_female-400-count,stations_female-400,stations_female-400-none,station_female-last-a,station_female-last-b
101163,Shaheed Abdul Sabour Fareed School,010108,1,Nahia 08,1723,5,1091,3,1,1X400,2,346,345,632,2,0,,2,316,316
101164,Abdul Rahim Ghafourzai High School,010108,1,Nahia 08,2087,6,1547,4,2,2X400,2,374,373,540,2,0,,2,270,270
101165,Amena Fidawi Girls High School,010108,1,Nahia 08,4619,13,2825,8,6,6X400,2,213,212,1794,5,3,3X400,2,297,297
101166,Tapah e Balkh Mosque,010108,1,Nahia 08,3135,9,2310,6,4,4X400,2,355,355,825,3,1,1X400,2,213,212
101167,Ustad Betab High School,010108,1,Nahia 08,2633,7,1960,5,3,3X400,2,380,380,673,2,0,,2,337,336
101168,Ashab e Keram Mosque,010108,1,Nahia 08,1856,6,1442,4,2,2X400,2,321,321,414,2,0,,2,207,207
101169,Qalla e Hashmat Khan High School,010108,1,Nahia 08,2565,7,1163,3,1,1X400,2,382,381,1402,4,2,2X400,2,301,301
101170,Qalla e Hashmat Khan Secondary School,010108,1,Nahia 08,3477,10,2889,8,6,6X400,2,245,244,588,2,0,,2,294,294
101171,Ilhaqya no.1 Abdul Hai Habibi High Schoo,010108,1,Nahia 08,2508,7,1747,5,3,3X400,2,274,273,761,2,0,,2,381,380
101172,Noor Mohammad Mosque,010109,1,Nahia 09,1938,5,1590,4,2,2X400,2,395,395,348,1,0,,1,348,0
101173,Paktya Kot Secondary School,010109,1,Nahia 09,5438,14,4312,11,9,9X400,2,356,356,1126,3,1,1X400,2,363,363
101174,Ali Ahmad Khan Popal High School,010109,1,Nahia 09,8012,21,4969,13,11,11X400,2,285,284,3043,8,6,6X400,2,322,321
101175,Qabil Bye High School,010109,1,Nahia 09,5730,16,4885,13,11,11X400,2,243,242,845,3,1,1X400,2,223,222
101176,Khwaja Rawash Secondary School,010109,1,Nahia 09,2523,7,1744,5,3,3X400,2,272,272,779,2,0,,2,390,389
101177,Laghmani Ha Mosque,010109,1,Nahia 09,3904,10,2772,7,5,5X400,2,386,386,1132,3,1,1X400,2,366,366
101178,Block Awal Reyasat Hawa Shinasi (Block n,010109,1,Nahia 09,3330,9,2370,6,4,4X400,2,385,385,960,3,1,1X400,2,280,280
101179,Mansour Halaaj Mosque,010109,1,Nahia 09,2189,6,1526,4,2,2X400,2,363,363,663,2,0,,2,332,331
101180,Shaheed Sardar Mohammad Daud Khan,010109,1,Nahia 09,4625,13,2504,7,5,5X400,2,252,252,2121,6,4,4X400,2,261,260
101181,T and Telecommunications Institute,010109,1,Nahia 09,477,2,379,1,0,,1,379,0,98,1,0,,1,98,0
101182,Hazrat Mohammad Mustafa Mosque,010109,1,Nahia 09,2005,6,1502,4,2,2X400,2,351,351,503,2,0,,2,252,251
101183,Al Fatah High School,010109,1,Nahia 09,5443,15,3386,9,7,7X400,2,293,293,2057,6,4,4X400,2,229,228
101184,Haji Abdul Qadeer High School,010109,1,Nahia 09,851,3,594,2,0,,2,297,297,257,1,0,,1,257,0
101185,Abul Qasem Firdousi High School,010109,1,Nahia 09,2387,7,1181,3,1,1X400,2,391,390,1206,4,2,2X400,2,203,203
101186,Bibi Mahro Boys High School,010109,1,Nahia 09,2069,6,1694,5,3,3X400,2,247,247,375,1,0,,1,375,0
101187,Abdul Hadi Dawi High School,010109,1,Nahia 09,3102,8,2389,6,4,4X400,2,395,394,713,2,0,,2,357,356
101188,Shash Darak Sharqi Jame Mosque,010109,1,Nahia 09,1007,4,868,3,1,1X400,2,234,234,139,1,0,,1,139,0
101189,Setara High School,010109,1,Nahia 09,1610,5,1493,4,2,2X400,2,347,346,117,1,0,,1,117,0
101190,Ministry of Women Affairs,010110,1,Nahia 10,432,2,315,1,0,,1,315,0,117,1,0,,1,117,0
101191,Moenyat Sewad Amozi (Deputy Ministry,010110,1,Nahia 10,716,3,665,2,0,,2,333,332,51,1,0,,1,51,0
101192,Amani High School,010110,1,Nahia 10,1112,4,1025,3,1,1X400,2,313,312,87,1,0,,1,87,0
101193,Wazeer Akbar Khan Mosque,010110,1,Nahia 10,2577,7,2336,6,4,4X400,2,368,368,241,1,0,,1,241,0
101194,Ahmad Mujtaba Mosque,010110,1,Nahia 10,966,4,811,3,1,1X400,2,206,205,155,1,0,,1,155,0
101195,Jafari Mosque,010110,1,Nahia 10,1608,5,1005,3,1,1X400,2,303,302,603,2,0,,2,302,301
101196,Bibi Mahro Maidan Mosque,010110,1,Nahia 10,2868,8,2155,6,4,4X400,2,278,277,713,2,0,,2,357,356
101197,Bibi Mahro Girls High School,010110,1,Nahia 10,2546,7,1138,3,1,1X400,2,369,369,1408,4,2,2X400,2,304,304
101198,Aziz Afghan Secondary School,010110,1,Nahia 10,1772,6,1228,4,2,2X400,2,214,214,544,2,0,,2,272,272
101199,Hazrat Daoud Mosque,010110,1,Nahia 10,1173,3,784,2,0,,2,392,392,389,1,0,,1,389,0
101200,Qalla e Chaman Mosque,010110,1,Nahia 10,1561,5,1203,4,2,2X400,2,202,201,358,1,0,,1,358,0
101201,Shahrak Jame Mosque,010110,1,Nahia 10,1656,5,1032,3,1,1X400,2,316,316,624,2,0,,2,312,312
101202,Hazrat Omer Farouq Old Mosque,010110,1,Nahia 10,1985,6,1062,3,1,1X400,2,331,331,923,3,1,1X400,2,262,261
101203,Hazrat Yousuf Mosque,010110,1,Nahia 10,2321,7,1474,4,2,2X400,2,337,337,847,3,1,1X400,2,224,223
101204,Sayed Nezam Mosque,010110,1,Nahia 10,2670,8,1226,4,2,2X400,2,213,213,1444,4,2,2X400,2,322,322
101205,Shebari Ha Mosque,010110,1,Nahia 10,4273,12,2151,6,4,4X400,2,276,275,2122,6,4,4X400,2,261,261
101206,Khwaja Parsa e Wali Mosque,010110,1,Nahia 10,750,3,543,2,0,,2,272,271,207,1,0,,1,207,0
101207,Mostafawi Mosque,010110,1,Nahia 10,1693,6,886,3,1,1X400,2,243,243,807,3,1,1X400,2,204,203
