id,gender,party,name,name_dari,ballotNumber,incumbent,electedPreliminary,electedFinal
775639,M,independent, Muhammad Akbar Omari,محمد اکبر  عمری,497,False,158,159
776222,M,independent,Alhaj Muhammad Hussain Chela Bagh,الحاج محمد حسین چیله باغ,513,False,415,421
776444,M,independent,Ustad Abdul Habib Samim,استاد عبدالحبیب صمیم,56,False,1023,1035
785284,M,independent,Dr. Zaheer Sadat,داکتر ظهیر سعادت,9,False,5293,5293
788019,M,independent,Eng. Hedayatullah Zafari,انجنیر هدایت الله ظفری,224,False,57,56
798530,M,independent,Hajji Roz‐ud‐Din,حاجی روزالدین,182,False,464,449
817022,M,independent, Mir Zaman Jahadyar,میر زمان جهادیار,15,False,110,110
818769,M,Political party,Dr. Ashuqullah Yaqubi,داکتر عاشق الله یعقوبی,298,False,540,343
819461,M,independent,Sayed Hassan Agha Hedayati,سید حسن آغا هدایتی,349,False,107,124
823296,F,independent, Dr. Mahira Muhammadi,,43,False,81,
828465,M,independent, Fawad Sultani,فواد سلطانی,171,False,886,888
829210,M,independent,Sayed Mustafa Seddiqi,سید مصطفی صدیقی,4,False,219,220
834991,M,independent,Muhammad Dawood Barikzai Zarba,محمد داود بارکزی  ضربه,575,False,241,243
837116,M,independent,Alhaj Muhammad Almas Zahid,الحاج محمد الماس زاهد,8,True,12323,12361
848023,M,independent,Muhammad Sadiq  A.K.A Malim Qand gha,محمد صادق مشهور به معلم قند آغا,136,False,266,266
851548,F,independent,Waheeda Adalat Jo,وحیده عدالت جو,22,False,133,133
852885,M,independent,Eng. Abdul Basher Basharatullah,انجینر عبدالبشیر بشارت الله,16,False,145,146
860346,M,independent,Hajji Shah Agha Sakhizada,حاجی شاه آغا سخیزا ده,6,False,1854,1874
861135,F,independent,Zarghoona Hamid,زرغونه  حمید,283,False,52,53
888335,M,independent,Sayed Enayatullah A.K.A Hajji Jan Agha,سید عنایت الله  مشهور به حاجی جان اغا,2,False,1492,1492
904290,M,independent,Puhanmal Diploma  Eng. Muhammad Aziz Amini,پوهنمل دیپلوم انجنیر محمد عزیز امینی,420,False,86,86
