IEC ID,AGCHO_ID,ps_total,pc_total,lat,long,dist_name,prov_name,ANPO_obs_count,AYNSO_obs_count,FEFA_obs_count,TEFA_obs_count,NLO_obs_count,Total_Observers
1206,2507,17,6,68.8132593978,32.8942001587,Omna,Paktika,0,0,0,0,0,0
1207,2505,64,24,68.4778211193,32.8536746674,Zarghun Shahr,Paktika,0,0,36,0,0,36
1208,2508,73,24,68.9466333141,32.3888955522,Gomal,Paktika,0,0,25,0,0,25
1209,2512,45,15,68.4805050209,32.6651233792,Jani Khel,Paktika,0,0,22,0,0,22
1210,2509,40,16,69.0458747336,32.7522105311,Sarobi,Paktika,0,0,0,0,0,0
1211,2510,66,28,69.1930208907,32.9781339368,Urgun,Paktika,0,0,37,0,0,37
1212,2517,25,10,69.3268333051,33.1558226891,Ziruk,Paktika,0,0,13,0,0,13
1213,2511,26,8,69.2400343432,33.2065182446,Nika,Paktika,0,0,0,0,0,0
1214,2515,69,21,69.2752686216,32.7144249576,Bermel (Burmul),Paktika,0,0,0,0,0,0
1215,2516,38,12,69.399341768,32.9751476867,Gian,Paktika,0,0,0,0,0,0
1216,2518,30,8,68.1308586165,32.5633220418,Dila,Paktika,0,0,0,0,0,0
1217,2513,40,11,68.3273332297,32.2490062761,Waza Khah,Paktika,0,0,0,0,0,0
1218,2514,40,12,68.8349492284,31.9333983478,Wor Mamay,Paktika,0,0,0,0,0,0
1219,2519,13,3,68.3137072377,31.9062308613,Turwo (Tarwe),Paktika,0,0,0,0,0,0
1301,1201,114,22,69.2419830066,33.6013558978,Gardez,Paktya,24,0,53,16,0,93
1302,1203,51,12,69.3392083178,33.7732702663,Ahmadaba,Paktya,9,0,23,0,0,32
1303,1204,96,34,69.0417588677,33.4240177716,Zurmat,Paktya,0,0,0,0,0,0
1304,1205,13,2,69.3703033881,33.4520978148,Shawak,Paktya,0,0,6,0,0,6
1305,1206,52,19,69.4069751454,33.373602126,Zadran,Paktya,0,0,24,0,0,24
1306,1202,55,20,69.4790801568,33.71248069,Sayed Karam,Paktya,16,0,25,8,0,49
1307,1208,107,28,69.672607239,33.977664248,Ali Khel (Jaji),Paktya,18,0,49,9,0,76
1308,1207,39,15,69.6341292901,33.81558664,Lija Ahmad Khel,Paktya,0,0,18,4,0,22
1309,1209,35,11,69.7873189198,33.6553378994,Jani Khel,Paktya,0,0,0,0,0,0
1310,1210,53,13,69.7974411852,33.783605592,Chamkani,Paktya,0,0,24,4,0,28
1311,1211,37,13,69.910671086,33.7914789472,Dand wa Patan,Paktya,0,0,18,0,0,18
1312,9992,38,14,69.6484219688,33.7556878375,Laja Mangal,Paktya,0,0,0,2,0,2
1313,9997,26,9,69.5165825971,33.7978234561,Meerzaka,Paktya,6,0,0,3,0,9
1401,2601,217,50,70.0037943445,33.3404630159,Khost(Matun),Khost,32,0,103,0,0,135
1402,2605,53,21,69.7800672096,33.3166291189,Mando Zayi,Khost,11,0,25,0,0,36
1403,2607,37,10,69.9423277574,33.2020885267,Gurbuz,Khost,4,0,18,0,0,22
1404,2606,66,17,69.7306413264,33.1925696241,Tani,Khost,13,0,31,0,0,44
1405,2603,41,12,69.6674875507,33.571405159,Musa Khel,Khost,0,0,0,0,0,0
1406,2604,32,14,69.6826473168,33.3811886539,Nadir Shah Kot,Khost,0,0,15,0,0,15
1407,2602,32,5,69.9116227962,33.5433619107,Sabri,Khost,0,0,0,0,0,0
1408,2608,63,14,70.1905639028,33.3833396937,Tere Zayi,Khost,0,0,30,0,0,30
1409,2612,29,7,70.0767057051,33.5300965107,Bak,Khost,0,0,14,0,0,14
1410,2609,25,8,69.6591772953,33.4921652332,Qalandar,Khost,0,0,12,0,0,12
1411,2611,38,12,69.491355701,33.1566594954,Spera,Khost,0,0,0,0,0,0
1412,2610,21,6,69.5323927364,33.3140135799,Shamal (Shamul),Khost,0,0,10,0,0,10
1413,2613,43,10,70.0789467631,33.6405512025,Jaji Maydan,Khost,4,0,20,0,0,24
1501,1301,65,10,71.1300311264,34.8683173275,Asad Abad,Kunar,20,0,28,0,0,48
1502,1305,17,4,71.2286065397,34.86205767,Marawara,Kunar,4,0,0,0,0,4
1503,1302,17,4,71.0818274482,34.9961028332,Wata Pur,Kunar,0,0,0,0,0,0
1504,1303,24,7,71.0044557099,34.8017817643,Narang,Kunar,4,0,10,0,0,14
1505,1304,20,4,71.1185777222,34.7505526241,Sarkani,Kunar,0,0,9,0,0,9
1506,1306,30,6,71.225195529,35.0361549744,Shigal wa shel tan,Kunar,8,0,13,0,0,21
1507,1307,41,13,70.9163810263,34.9530679523,Dara-e-Pech,Kunar,0,0,0,0,0,0
1508,1311,23,7,71.3776895089,35.0718683369,Bar Kunar,Kunar,0,0,0,0,0,0
1509,1308,29,7,70.8665018918,34.7399735695,Chawkay,Kunar,0,0,13,0,0,13
1510,1309,37,10,70.9385986652,34.6127281864,Khas Kunar,Kunar,0,0,16,0,0,16
1511,1312,15,3,71.3297867036,35.2326953163,Ghazi Abad,Kunar,0,0,0,0,0,0
1512,1310,14,3,71.4369644863,35.001690216,Dangam,Kunar,0,0,0,0,0,0
1513,1313,18,4,70.7032260509,34.9590008412,Chapa Dara,Kunar,0,0,0,0,0,0
1514,1314,26,6,70.7310387571,34.6937782311,Nurgal,Kunar,0,0,11,0,0,11
1515,1315,26,6,71.5405291509,35.2676687377,Nari,Kunar,0,0,0,0,0,0
