unit,agcho_prov,agcho_dist,agcho_prov_id,agcho_dist_id,iec_dist,iec_prov,iec_prov_id,iec_dist_id,iec_id,agcho_dist_id_fix,iec_id_fix
District,Takhar,Namak Ab,16,1606,NAMAK AB,TAKHAR,18,6,1806,1606,1806
District,Takhar,Farkhar,16,1607,FARKHAR,TAKHAR,18,8,1808,1607,1808
District,Takhar,Kalafgan,16,1608,KALAFGAN,TAKHAR,18,7,1807,1608,1807
District,Takhar,Rostaq,16,1609,RUSTAQ,TAKHAR,18,10,1810,1609,1810
District,Takhar,Chah Ab,16,1610,CHAH AB,TAKHAR,18,16,1816,1610,1816
District,Takhar,Yangi Qala,16,1611,YANGI QALA,TAKHAR,18,17,1817,1611,1817
District,Takhar,Khwaja Bahawuddin,16,1612,KHWAJA BAHA,TAKHAR,18,14,1814,1612,1814
District,Takhar,Dasht-e-Qala,16,1613,DASHT-E-QALA,TAKHAR,18,12,1812,1613,1812
District,Takhar,Khwaja Ghar,16,1614,KHWAJA GHAR,TAKHAR,18,9,1809,1614,1809
District,Takhar,Ishkamish,16,1615,ESHKAMESH,TAKHAR,18,11,1811,1615,1811
District,Takhar,Warsaj,16,1616,WARSAJ,TAKHAR,18,13,1813,1616,1813
District,Takhar,Darqad,16,1617,DARQAD,TAKHAR,18,15,1815,1617,1815
Provincial_Center,Kunduz,Kunduz,17,1701,KUNDUZ,KUNDUZ,19,1,1901,1701,1901
District,Kunduz,Imam Saheb,17,1702,HAZRAT-E-IMAM,KUNDUZ,19,5,1905,1702,1905
District,Kunduz,Qala-e-Zal,17,1703,QALA-E-ZAL,KUNDUZ,19,7,1907,1703,1907
District,Kunduz,Chahar Darah,17,1704,CHAR DARA,KUNDUZ,19,2,1902,1704,1902
District,Kunduz,Ali Abad,17,1705,ALI ABAD,KUNDUZ,19,3,1903,1705,1903
District,Kunduz,Khan Abad,17,1706,KHAN ABAD,KUNDUZ,19,4,1904,1706,1904
District,Kunduz,Dasht-e-Archi,17,1707,DASHT-E-ARCHI,KUNDUZ,19,6,1906,1707,1906
Provincial_Center,Balkh,Mazar-e-Sharif,18,1801,MAZAR-E-SHARIF,BALKH,21,1,2101,1801,2101
District,Balkh,Nahr-e- Shahi,18,1802,NAHR-E-SHAHI,BALKH,21,2,2102,1802,2102
District,Balkh,Shor Tepa,18,1803,SHORTEPA,BALKH,21,12,2112,1803,2112
District,Balkh,Dawlat Abad,18,1804,DAWLAT ABAD,BALKH,21,9,2109,1804,2109
District,Balkh,Balkh,18,1805,BALKH,BALKH,21,6,2106,1805,2106
District,Balkh,Deh Dadi,18,1806,DEHDADI,BALKH,21,3,2103,1806,2103
District,Balkh,Chahar Kent,18,1807,CHAR KENT,BALKH,21,4,2104,1807,2104
District,Balkh,Marmul,18,1808,MARMUL,BALKH,21,5,2105,1808,2105
District,Balkh,Khulm,18,1809,KHULM,BALKH,21,10,2110,1809,2110
District,Balkh,Kaldar,18,1810,KALDAR,BALKH,21,13,2113,1810,2113
Town,Balkh,Sharak-e-Hayratan,18,1811,,,,,,1811,0
District,Balkh,Chahar Bolak,18,1812,CHAR BOLAK,BALKH,21,11,2111,1812,2111
District,Balkh,Chemtal,18,1813,CHIMTAL,BALKH,21,8,2108,1813,2108
District,Balkh,Sholgareh,18,1814,SHOLGARA,BALKH,21,7,2107,1814,2107
District,Balkh,Kishindeh,18,1815,KISHINDEH,BALKH,21,14,2114,1815,2114
District,Balkh,Zari,18,1816,ZARI,BALKH,21,15,2115,1816,2115
Provincial_Center,Samangan,Aybak,19,1901,AYBAK,SAMANGAN,20,1,2001,1901,2001
District,Samangan,Hazrat-e- Sultan,19,1902,HAZRAT-E-ͲSULTAN,SAMANGAN,20,2,2002,1902,2002
District,Samangan,Feroz Nakhchir,19,1903,FEROZ NAKHCHI,SAMANGAN,20,4,2004,1903,2004
District,Samangan,Darah Suf-e- Payin,19,1904,DARA-E-SOOF-E-XXXXXX,SAMANGAN,20,6,2006,1904,2006
District,Samangan,Darah Suf-e-Bala,19,1905,DARA-E-SOOF-E-XXXXXX,SAMANGAN,20,6,2006,1905,2006
District,Samangan,Khuram wa Sarbagh,19,1906,KHURAM WA SABAGH,SAMANGAN,20,3,2003,1906,2003
District,Samangan,Ruy-e-Du Ab,19,1907,ROI-DO-AB,SAMANGAN,20,5,2005,1907,2005
Provincial_Center,Sar-e-Pul,Sar-e-Pul,20,2001,SAR-E-PUL,SAR-E-PUL,22,1,2201,2001,2201
District,Sar-e-Pul,Sayad,20,2002,SAYAD,SAR-E-PUL,22,2,2202,2002,2202
District,Sar-e-Pul,Kohistanat,20,2003,KOHISTANAT,SAR-E-PUL,22,3,2203,2003,2203
District,Sar-e-Pul,Sozma Qala,20,2004,SOZMA QALA,SAR-E-PUL,22,4,2204,2004,2204
District,Sar-e-Pul,Gosfandi,20,2005,GOSFANDI,SAR-E-PUL,22,6,2206,2005,2206
District,Sar-e-Pul,Balkh Ab,20,2006,BALKHAB,SAR-E-PUL,22,7,2207,2006,2207
District,Sar-e-Pul,Sang(San)Charak,20,2007,SANG CHARAK,SAR-E-PUL,22,5,2205,2007,2205
Provincial_Center,Ghor,Chaghcharan,21,2101,CHIGHCHERAN,GHOR,23,1,2301,2101,2301
District,Ghor,Chahar Sadra,21,2102,CHAR SADA,GHOR,23,4,2304,2102,2304
District,Ghor,Du Lina,21,2103,DULEENA,GHOR,23,2,2302,2103,2302
District,Ghor,Dawlat Yar,21,2104,DAWLATYAR,GHOR,23,3,2303,2104,2303
District,Ghor,Shahrak,21,2105,SHAHRAK,GHOR,23,6,2306,2105,2306
District,Ghor,Taywarah,21,2106,TAYWARA,GHOR,23,8,2308,2106,2308
District,Ghor,Pasaband,21,2107,PASABAND,GHOR,23,5,2305,2107,2305
District,Ghor,Lal Wa Sarjangal,21,2108,LAL WA SARJAN,GHOR,23,7,2307,2108,2307
District,Ghor,Tolak,21,2109,TULAK,GHOR,23,9,2309,2109,2309
District,Ghor,Saghar,21,2110,SAGHAR,GHOR,23,10,2310,2110,2310
Provincial_Center,Daykundi,Nili,22,2201,NILI,DAYKUNDI,24,1,2401,2201,2401
District,Daykundi,Ashtarlay,22,2202,ISHTERLAI,DAYKUNDI,24,4,2404,2202,2404
District,Daykundi,Khadir,22,2203,KHEDIR,DAYKUNDI,24,5,2405,2203,2405
District,Daykundi,kiti,22,2204,GETI,DAYKUNDI,24,6,2406,2204,2406
District,Daykundi,Gizab,22,2205,GIZAB,DAYKUNDI,24,3,2403,2205,2403
District,Daykundi,Shahristan,22,2206,SHAHRISTAN,DAYKUNDI,24,2,2402,2206,2402
District,Daykundi,Sang-e-Takht,22,2207,SANG-E-TAKHT,DAYKUNDI,24,8,2408,2207,2408
District,Daykundi,Kajran,22,2208,KEJRAN,DAYKUNDI,24,9,2409,2208,2409
District,Daykundi,Miramor,22,2209,MIRAMOR,DAYKUNDI,24,7,2407,2209,2407
Provincial_Center,Uruzgan,Tirin Kot,23,2301,TIRINKOT,UROZGAN,25,1,2501,2301,2501
District,Uruzgan,Chora,23,2302,CHORA,UROZGAN,25,3,2503,2302,2503
District,Uruzgan,Shahid-e-Hassas,23,2303,SHAHID-E-HASS,UROZGAN,25,4,2504,2303,2504
District,Uruzgan,Dehrawud,23,2304,DEHRAOUD,UROZGAN,25,2,2502,2304,2502
District,Uruzgan,Khas Uruzgan,23,2305,KHAS UROZGAN,UROZGAN,25,5,2505,2305,2505
Provincial_Center,Zabul,Qalat,24,2401,QALAT,ZABUL,26,1,2601,2401,2601
District,Zabul,Arghandab,24,2402,ARGHANDAB,ZABUL,26,5,2605,2402,2605
District,Zabul,Mizan,24,2403,MIZAN,ZABUL,26,4,2604,2403,2604
District,Zabul,Tarnak Wa Jaldak,24,2404,TARANK WA JA,ZABUL,26,2,2602,2404,2602
District,Zabul,Shinkay,24,2405,SHINKAI,ZABUL,26,3,2603,2405,2603
District,Zabul,Shah Joy,24,2406,SHAH JOI,ZABUL,26,6,2606,2406,2606
District,Zabul,Kakar,24,2407,,,,,,2407,0
District,Zabul,Day chopan,24,2408,DAICHOPAN,ZABUL,26,7,2607,2408,2607
District,Zabul,Atghar,24,2409,ATGHAR,ZABUL,26,8,2608,2409,2608
District,Zabul,Shomulzay,24,2410,SHEMEL ZAYI,ZABUL,26,10,2610,2410,2610
District,Zabul,Naw Bahar,24,2411,NAW BAHAR,ZABUL,26,9,2609,2411,2609
Provincial_Center,Paktika,Sharan,25,2501,SHARAN,PAKTIKA,12,1,1201,2501,1201
District,Paktika,Mata Khan,25,2502,MATA KHAN,PAKTIKA,12,2,1202,2502,1202
District,Paktika,Yosuf Khel,25,2503,YOSUF KHEL,PAKTIKA,12,3,1203,2503,1203
District,Paktika,Sar Hawzeh(Rawzeh),25,2504,SAR RAWZA,PAKTIKA,12,5,1205,2504,1205
District,Paktika,Zarghun Shahr,25,2505,ZARGHUN SHAH,PAKTIKA,12,7,1207,2505,1207
District,Paktika,Yahya Khel,25,2506,YAHYA KHEL,PAKTIKA,12,4,1204,2506,1204
District,Paktika,Omna,25,2507,OMNA,PAKTIKA,12,6,1206,2507,1206
District,Paktika,Gomal,25,2508,GOMAL,PAKTIKA,12,8,1208,2508,1208
District,Paktika,Sarobi,25,2509,SURUBI,PAKTIKA,12,10,1210,2509,1210
District,Paktika,Urgun,25,2510,URGOON,PAKTIKA,12,11,1211,2510,1211
District,Paktika,Nika,25,2511,NIKA,PAKTIKA,12,13,1213,2511,1213
District,Paktika,Jani Khel,25,2512,JANI KHEL,PAKTIKA,12,9,1209,2512,1209
District,Paktika,Waza Khah,25,2513,WAZAKHWAH,PAKTIKA,12,17,1217,2513,1217
