Long,Lat,ps_male,pc_name,PC-number,province,ps_total,district,ps_female,pc_location,iec_prov_id,map_accuracy,iec_district_id
68.51848461,32.922203170000046,2,Bazaar Mosque,1207288,Paktika,2,Zarghun Shahr,0,District Center,12,Building,7
68.52130480000002,32.92386648000004,2,Segana Village Mosque,1207289,Paktika,4,Zarghun Shahr,2,Segana,12,Building,7
68.90307548200006,32.73976573700001,0,Amand Khel Village School,1208132,Paktika,2,Gomal,2,Rozi Khel,12,Village,8
68.39659947000006,32.74537542000008,0,Jalozo Girls School,1209112,Paktika,3,Jani Khel,3,Jalalzo,12,Village,9
68.39824447000004,32.779998010000014,3,Abdullah Guest House,1209113,Paktika,3,Jani Khel,0,Shadi Khel,12,Village,9
69.10490474000004,32.65872052000002,2,Khan Mohammad Mosque,1210148,Paktika,3,Surubi,1,Lanja Khel,12,Village,10
69.26181071000006,32.832123520000025,2,Abas Khel Mosque,1210157,Paktika,2,Surubi,0,Abbas Khel,12,Building,10
69.15105084000002,32.90187149000006,0,Old Orgon Girls School,1211172,Paktika,2,Urgoon,2,Old Argon,12,Village,11
69.15553408000004,32.875116630000015,3,Ghouch School,1211173,Paktika,3,Urgoon,0,Jani Qala,12,Village,11
69.17922710000002,32.95379730000006,0,Balish Girls Primary School,1211297,Paktika,2,Urgoon,2,Balishi,12,District,11
69.26984298000006,32.90166935000008,2,Shaikhan Girls Primary School,1211298,Paktika,2,Urgoon,0,Shaikhan,12,Village,11
69.25769903000007,33.201203250000034,0,Nooraki Mosque,1213197,Paktika,6,Nika,6,Nora Ki,12,Village,13
69.25774202000007,33.20137383000005,5,Sharbat Shah Guest House,1213198,Paktika,5,Nika,0,Nora Ki,12,Village,13
69.31605548000003,32.79038907000006,0,Zangi Ada Village Mosque,1214304,Paktika,2,Barmal,2,Zangi Ada,12,District,14
68.43313159000004,32.15752626000004,2,Apsar Kot Mosque,1217227,Paktika,2,Wazakhwah,0,Apsar Kot,12,Building,17
68.43351561000001,32.172381210000005,0,Servand Primary School,1217228,Paktika,3,Wazakhwah,3,Haji Adam Qala,12,Building,17
68.86986918000005,31.776369610000064,4,Old Police Office,1218242,Paktika,4,Wor Mamy,0,Do Cheena,12,Village,18
69.30354818000004,33.609022040000056,4,Mohlan School,1301003,Paktya,7,Gardez,3,Mohlan,13,Building,1
69.22731638000003,33.661939250000025,5,Tera School,1301004,Paktya,6,Gardez,1,Tera,13,Building,1
69.09527960000005,33.26437526000004,1,District Compound,1303102,Paktya,2,Zurmat,1,Arma,13,Village,3
69.43982326000005,33.367152050000065,0,Waza Education Madrassa,1305115,Paktya,2,Wuza Zadran,2,Waza Village,13,Village,5
69.43727059000007,33.36788294000006,3,Garda Seri Clinic,1305129,Paktya,4,Wuza Zadran,1,District Center,13,Building,5
69.36792781000007,33.690902100000045,3,Kondar Khel Mosque,1306021,Paktya,4,Sayyid Karam,1,Kondar Khel,13,Building,6
69.49373643000006,33.728842950000065,0,Nadir Khan House,1306030,Paktya,2,Sayyid Karam,2,Samin Khel,13,Village,6
69.60133942000003,33.99549064000005,2,Muhram Astea School,1307216,Paktya,3,Jaji Aryob,1,Muhram Astea,13,District,7
69.63409761000007,33.87544069000004,0,Sulaiman Khel Mosque,1308139,Paktya,2,Laja Ahmad Khel,2,Kwandi Hassan Khel Village,13,District,8
69.74815892000001,33.80626394000003,4,Bagyaar School,1310158,Paktya,4,Samkani,0,Bagyaar,13,Building,10
69.90835161000004,33.734205420000016,0,Saltak Maqbol Health Clinic,1311188,Paktya,2,Dand Patan,2,Saltak Moqbol,13,Village,11
69.91091303000006,33.386039730000036,3,Mosque,1401034,Khost,4,Khost,1,Lakan Khoni Khwar,14,Village,1
69.70985263000003,33.23557535000004,2,Sawat Khan Hojra,1404134,Khost,3,Tanay,1,Hisarak,14,Village,4
69.64850208000006,33.59772353000004,2,Ajab Khan Mosque,1405076,Khost,3,Musa Khel,1,Kosin Khola,14,Village,5
69.62773426000005,33.67792705000005,3,Hasan Gul Hojra,1405077,Khost,5,Musa Khel,2,Dabaki Village,14,Village,5
70.06229850000003,33.43427141000004,3,Mandena Mosque,1408049,Khost,4,Ali Sher,1,Mandenah,14,District,8
69.69019773000005,33.50445732000001,2,Mela Village Mosque,1410108,Khost,3,Qalandar,1,Khost Mela Village,14,Building,10
69.69679808000004,33.468753290000045,3,Ghafar House,1410109,Khost,4,Qalandar,1,Landi Village,14,Building,10
70.95970067000006,34.94094469000004,2,Kolak Village Mosque,1507022,Kunar,3,Dara-E-Pech,1,Kolak,15,Village,7
70.89497520600005,34.984196628000056,2,Manogi High School,1507023,Kunar,3,Dara-E-Pech,1,Manogai,15,Village,7
70.89763711000005,34.64637609000001,3,Khas Kunar Bararazi High School,1510096,Kunar,6,Khas Kunar,3,Bar Arazi,15,Building,10
70.84944458000004,34.61758712000004,3,Chindraway Village Mosque,1510097,Kunar,4,Khas Kunar,1,Chindraway,15,Building,10
70.73333333000004,35.08750000000002,3,Archano Village Mosque,1603040,Nooristan,5,Wama,2,Archno Village,16,Building,3
71.33808505000006,35.409359510000044,3,Paparistan Village Mosque,1606055,Nooristan,5,Kamdesh,2,Paparistan Village,16,Village,6
71.3449583,35.68006833000002,5,Barg-E-Matal Gharb Village School,1608066,Nooristan,8,Barg-E-Matal,3,Barg-E-Matal Gharb Village,16,Village,8
70.58912589000003,37.09842912000003,3,Najibullah Shaheed School,1701014,Badakhshan,5,Faiz Abad,2,Chata Nahia 4,17,Building,1
70.58237254000002,37.11142539000004,3,Kokcha High School,1701015,Badakhshan,4,Faiz Abad,1,Kokcha,17,Building,1
70.27013095000005,37.198152080000035,2,Qara Kamar School,1702050,Badakhshan,3,Argo,1,Qara Kamar,17,Building,2
70.76185724000003,37.17629095000005,2,Khanqah Mosque,1703222,Badakhshan,3,Arghanj Khwah,1,Khanqah,17,Building,3
70.71478327000003,37.10771749000001,2,Samdarah School,1703223,Badakhshan,3,Arghanj Khwah,1,Samdarah,17,Building,3
70.35736534000003,37.23202504000004,2,Farghambol School,1704027,Badakhshan,3,Yaftal-E-Sufla,1,Farghambol,17,Building,4
