id,name,distId,provId,estimatedVoters,psTotal,psFemale,psMale,psKuchi
1405077,"Karim Khan Yard / Tajekan Female School, Tajekan",1518,15,2000,4,2,2,0
1405073,"Atah Mohammad Yard / Zulm Abad, Zulm Abad",1518,15,1300,3,1,2,0
1405078,"Durkhan School, Durkhan",1518,15,1500,3,1,2,0
1405075,"Deh Naw School, Deh Naw",1518,15,1200,2,1,1,0
1405076,"Mahroof Khash School / Shahan Female School, Shahraan",1518,15,3000,5,2,3,0
1410120,"Paspul Mosque, Paspul",1519,15,1600,3,1,2,0
1410122,"Maidan Mosque, Maidan",1519,15,1600,3,1,2,0
1410126,"Waja Garan School, Waja Garan",1519,15,1450,3,1,2,0
1410125,"March Mosque, March",1519,15,1850,4,2,2,0
1410124,"Wal Khanda School, Wal Khenda",1519,15,1650,3,1,2,0
1410123,"Shapugi Mosque, Shapugi Baala",1519,15,1400,3,1,2,0
1410121,"Lakhsh School, Lakhsh",1519,15,1450,3,1,2,0
1424251,"Pai Mazar, Pai Mazar",1520,15,1500,3,1,2,0
1424246,"School, Qalha",1520,15,1300,3,1,2,0
1424249,"Daraj, Daraj",1520,15,2000,4,2,2,0
1424252,"School, Podio",1520,15,1000,2,1,1,0
1424250,"Shakhar School, Shakhar",1520,15,1500,3,1,2,0
1424247,"Noh Shahr, Noh Shahr",1520,15,1300,3,1,2,0
1424248,"Mosque, Karnio",1520,15,1300,3,1,2,0
1428278,"High School, Shahr-e-Sabz",1521,15,1800,3,1,2,0
1428280,"School, Sar Nazem",1521,15,1100,2,1,1,0
1428277,"Manaw High School, Manaw",1521,15,1100,2,1,1,0
1428281,"School, Khan Dara",1521,15,1100,2,1,1,0
1428276,"Ghamai School, Ghamai Payan",1521,15,900,2,1,1,0
1428282,"Primary School, Sang Leech",1521,15,1200,2,1,1,0
1428279,"Zharf High School, Zharf",1521,15,1200,2,1,1,0
1409115,"Shams-ul-Haq School, Abab",1522,15,2400,4,2,2,0
1409118,"Izro School, Izro",1522,15,2300,4,2,2,0
1409113,"Mahmoodaan School, Mahmoodaan",1522,15,2700,5,2,3,0
1409119,"Mirza Rahim School, Dasht",1522,15,2300,4,2,2,0
1409117,"Hamedi School, Shakaran",1522,15,2400,4,2,2,0
1409114,"Abu Talha School, Joi Baar Village",1522,15,2700,5,2,3,0
1409116,"District Center, Maidan",1522,15,2300,4,2,2,0
1414175,"Hangaran Mosque, Dara Kalan",1523,15,1100,2,,,2
1414170,"Ajeel Mosque, Ajeel",1523,15,1500,3,1,2,0
1414176,"School, Aasiabak",1523,15,1800,3,1,2,0
1414171,"Khambak Bala School, Khambak Bala",1523,15,1600,3,1,2,0
1414169,"Saaz Dara School, Saaz Dara",1523,15,1300,3,1,2,0
1414172,"Kori School, Kori",1523,15,1800,3,1,2,0
1414173,"Do Aabi Mosque, Do Aabi",1523,15,1850,4,2,2,0
1414167,"Farmanquli Secondary School, Farmanquli",1523,15,1850,4,2,2,0
1414174,"Arghanj Khwa Mosque, Arghanj Khwa",1523,15,1350,3,1,2,0
1414168,"Krasodi School, Krasodi",1523,15,1750,3,1,2,0
