distId,provId,solar_year,gregorian_year,province_name_eng,district_number,district_name_eng,rural_fem,rural_male,rural_total,urban_fem,urban_male,urban_total,fem_population,male_population,total_population,units
1105,11,1398,2019-2020,Ghazni,5,Deh Yak,26622,27696,54318,,,,26622,27696,54318,exact
1106,11,1398,2019-2020,Ghazni,6,Jaghatu,17226,18029,35255,,,,17226,18029,35255,exact
1107,11,1398,2019-2020,Ghazni,7,Andar,67335,71199,138534,,,,67335,71199,138534,exact
1108,11,1398,2019-2020,Ghazni,8,Zanakhan,6785,7185,13970,,,,6785,7185,13970,exact
1109,11,1398,2019-2020,Ghazni,9,Rashidan,9787,10190,19977,,,,9787,10190,19977,exact
1110,11,1398,2019-2020,Ghazni,10,Nawur,51677,53432,105109,,,,51677,53432,105109,exact
1111,11,1398,2019-2020,Ghazni,11,Qara Bagh,77514,81129,158643,,,,77514,81129,158643,exact
1112,11,1398,2019-2020,Ghazni,12,Giro,19443,21164,40607,,,,19443,21164,40607,exact
1113,11,1398,2019-2020,Ghazni,13,Ab Band,14746,15808,30554,,,,14746,15808,30554,exact
1114,11,1398,2019-2020,Ghazni,14,Jaghuri,96176,99941,196117,,,,96176,99941,196117,exact
1115,11,1398,2019-2020,Ghazni,15,Muqur,26883,29002,55885,,,,26883,29002,55885,exact
1116,11,1398,2019-2020,Ghazni,16,Malistan,45283,45855,91138,,,,45283,45855,91138,exact
1117,11,1398,2019-2020,Ghazni,17,Gelan,31317,32921,64238,,,,31317,32921,64238,exact
1118,11,1398,2019-2020,Ghazni,18,Ajristan,15529,16461,31990,,,,15529,16461,31990,exact
1119,11,1398,2019-2020,Ghazni,19,Nawa,16051,16983,33034,,,,16051,16983,33034,exact
1201,12,1398,2019-2020,Paktika,1,provincial Capital(Sharan),28666,30027,58693,2439,2494,4933,31105,32521,63626,exact
1202,12,1398,2019-2020,Paktika,2,Mata Khan,13045,13675,26720,,,,13045,13675,26720,exact
1203,12,1398,2019-2020,Paktika,3,Yosuf Khel,13929,14762,28691,,,,13929,14762,28691,exact
1204,12,1398,2019-2020,Paktika,4,Yahya Khel,14285,14974,29259,,,,14285,14974,29259,exact
1205,12,1398,2019-2020,Paktika,5,Sar Rawza,18071,18343,36414,,,,18071,18343,36414,exact
1206,12,1398,2019-2020,Paktika,6,Omna,11469,11931,23400,,,,11469,11931,23400,exact
1207,12,1398,2019-2020,Paktika,7,Zarghun Shahr,20267,21054,41321,,,,20267,21054,41321,exact
1208,12,1398,2019-2020,Paktika,8,Gomal,22439,23344,45783,,,,22439,23344,45783,exact
1209,12,1398,2019-2020,Paktika,9,Jani Khel,17576,18661,36237,,,,17576,18661,36237,exact
1210,12,1398,2019-2020,Paktika,10,Surubi,19092,19093,38185,,,,19092,19093,38185,exact
1211,12,1398,2019-2020,Paktika,11,Urgoon,44078,44914,88992,,,,44078,44914,88992,exact
1212,12,1398,2019-2020,Paktika,12,Ziruk,18652,20083,38735,,,,18652,20083,38735,exact
1213,12,1398,2019-2020,Paktika,13,Nika,8185,8562,16747,,,,8185,8562,16747,exact
1214,12,1398,2019-2020,Paktika,14,Barmal,36899,38783,75682,,,,36899,38783,75682,exact
1215,12,1398,2019-2020,Paktika,15,Giyan,23274,23703,46977,,,,23274,23703,46977,exact
1216,12,1398,2019-2020,Paktika,16,DilaWa Khushamand,22775,24248,47023,,,,22775,24248,47023,exact
1217,12,1398,2019-2020,Paktika,17,Wazakhwah,22028,23815,45843,,,,22028,23815,45843,exact
1218,12,1398,2019-2020,Paktika,18,Wormamay,10437,10964,21401,,,,10437,10964,21401,exact
1219,12,1398,2019-2020,Paktika,19,Turwo,5212,5860,11072,,,,5212,5860,11072,exact
1301,13,1398,2019-2020,Paktya,1,provincial Capital(Gardez),32362,33836,66198,13787,13849,27636,46149,47685,93834,exact
1302,13,1398,2019-2020,Paktya,2,Ahmadaba,15399,15546,30945,,,,15399,15546,30945,exact
1303,13,1398,2019-2020,Paktya,3,Zurmat,47322,49527,96849,,,,47322,49527,96849,exact
1304,13,1398,2019-2020,Paktya,4,Shwak,3002,3136,6138,,,,3002,3136,6138,exact
1305,13,1398,2019-2020,Paktya,5,Wuza Zadran,13012,13995,27007,,,,13012,13995,27007,exact
1306,13,1398,2019-2020,Paktya,6,Sayyid Karam,30144,31745,61889,,,,30144,31745,61889,exact
1307,13,1398,2019-2020,Paktya,7,Jaji,34059,35927,69986,,,,34059,35927,69986,exact
1308,13,1398,2019-2020,Paktya,8,Laja Ahmad khel,12267,13064,25331,,,,12267,13064,25331,exact
1309,13,1398,2019-2020,Paktya,9,Jani Khel,18791,19987,38778,,,,18791,19987,38778,exact
1310,13,1398,2019-2020,Paktya,10,Samkani,27536,27958,55494,,,,27536,27958,55494,exact
1311,13,1398,2019-2020,Paktya,11,Dand Patan,14354,15155,29509,,,,14354,15155,29509,exact
1312,13,1398,2019-2020,Paktya,12,laja mangel,10309,10582,20891,,,,10309,10582,20891,exact
1313,13,1398,2019-2020,Paktya,13,Mirzaka,4568,4965,9533,,,,4568,4965,9533,exact
1314,13,1398,2019-2020,Paktya,14,Garda siray,6040,6384,12424,,,,6040,6384,12424,exact
1315,13,1398,2019-2020,Paktya,15,Rohany Baba,11009,11613,22622,,,,11009,11613,22622,exact
1401,14,1398,2019-2020,Khost,1,provincial Capital(Khost),68902,71330,140232,6457,6642,13099,75359,77972,153331,exact
1402,14,1398,2019-2020,Khost,2,Manduzay (Esmayel khil),30405,32268,62673,,,,30405,32268,62673,exact
1403,14,1398,2019-2020,Khost,3,Gurbuz,14094,15025,29119,,,,14094,15025,29119,exact
1404,14,1398,2019-2020,Khost,4,Tanay,32494,33705,66199,,,,32494,33705,66199,exact
1405,14,1398,2019-2020,Khost,5,Musa khel,22315,23254,45569,,,,22315,23254,45569,exact
1406,14,1398,2019-2020,Khost,6,Nadir Shah kot,17094,18290,35384,,,,17094,18290,35384,exact
1407,14,1398,2019-2020,Khost,7,Sabari (Yaqubi),38627,40107,78734,,,,38627,40107,78734,exact
1408,14,1398,2019-2020,Khost,8,Tirzayee (Ali Sher ),24011,25606,49617,,,,24011,25606,49617,exact
1409,14,1398,2019-2020,Khost,9,Baak,12006,12542,24548,,,,12006,12542,24548,exact
1410,14,1398,2019-2020,Khost,10,Qalandar,5481,5879,11360,,,,5481,5879,11360,exact
1411,14,1398,2019-2020,Khost,11,Spera,13049,13979,27028,,,,13049,13979,27028,exact
1412,14,1398,2019-2020,Khost,12,Shamul,7307,7838,15145,,,,7307,7838,15145,exact
1413,14,1398,2019-2020,Khost,13,Jaji Maidan,12919,13847,26766,,,,12919,13847,26766,exact
1501,15,1398,2019-2020,Kunar,1,provincial Capital (Asad Abad),10701,11366,22067,7631,7914,15545,18332,19280,37612,exact
1502,15,1398,2019-2020,Kunar,2,Mara wara,11223,11497,22720,,,,11223,11497,22720,exact
1503,15,1398,2019-2020,Kunar,3,Watapoor,14877,15546,30423,,,,14877,15546,30423,exact
1504,15,1398,2019-2020,Kunar,4,Narang Wa Badil,16443,17114,33557,,,,16443,17114,33557,exact
1505,15,1398,2019-2020,Kunar,5,Sar Kani,14876,15416,30292,,,,14876,15416,30292,exact
1506,15,1398,2019-2020,Kunar,6,Shigal,6579,6772,13351,,,,6579,6772,13351,exact
1507,15,1398,2019-2020,Kunar,7,Dara-e- Pech,29491,31223,60714,,,,29491,31223,60714,exact
1508,15,1398,2019-2020,Kunar,8,Bar Kunar,12005,12410,24415,,,,12005,12410,24415,exact
1509,15,1398,2019-2020,Kunar,9,Sawkai,19313,20379,39692,,,,19313,20379,39692,exact
1510,15,1398,2019-2020,Kunar,10,Khas Kunar,19183,19727,38910,,,,19183,19727,38910,exact
1511,15,1398,2019-2020,Kunar,11,Ghazi Abad,10179,10582,20761,,,,10179,10582,20761,exact
1512,15,1398,2019-2020,Kunar,12,Dangam,9135,9668,18803,,,,9135,9668,18803,exact
1513,15,1398,2019-2020,Kunar,13,Chapa Dara,16704,17767,34471,,,,16704,17767,34471,exact
1514,15,1398,2019-2020,Kunar,14,S.Noorgal,16964,18159,35123,,,,16964,18159,35123,exact
1515,15,1398,2019-2020,Kunar,15,Nari,14876,15808,30684,,,,14876,15808,30684,exact
1516,15,1398,2019-2020,Kunar,16,Sheltan,9342,9820,19162,,,,9342,9820,19162,exact
1601,16,1398,2019-2020,Nuristan,1,provincial Capital (Paroon),7307,7707,15014,,,,7307,7707,15014,exact
1602,16,1398,2019-2020,Nuristan,2,Waygal,10309,11497,21806,,,,10309,11497,21806,exact
1603,16,1398,2019-2020,Nuristan,3,Wama,6003,6270,12273,,,,6003,6270,12273,exact
1604,16,1398,2019-2020,Nuristan,4,S.Noor Gram,17486,18420,35906,,,,17486,18420,35906,exact
1605,16,1398,2019-2020,Nuristan,5,Duab,4438,4312,8750,,,,4438,4312,8750,exact
1606,16,1398,2019-2020,Nuristan,6,Kamdesh,14093,13980,28073,,,,14093,13980,28073,exact
1607,16,1398,2019-2020,Nuristan,7,Mandol,10570,11366,21936,,,,10570,11366,21936,exact
1608,16,1398,2019-2020,Nuristan,8,Bargi Matal,8613,8622,17235,,,,8613,8622,17235,exact
1701,17,1398,2019-2020,Badakhshan,1,provincial Capital (Faiz Abad),18660,19204,37864,18776,18937,37713,37436,38141,75577,exact
1702,17,1398,2019-2020,Badakhshan,2,Argo,42281,44810,87091,,,,42281,44810,87091,exact
1703,17,1398,2019-2020,Badakhshan,3,Arghanj Khwah,8873,9014,17887,,,,8873,9014,17887,exact
1704,17,1398,2019-2020,Badakhshan,4,Yaftal-e-Sufla,29101,29525,58626,,,,29101,29525,58626,exact
1705,17,1398,2019-2020,Badakhshan,5,Khash,20750,21556,42306,,,,20750,21556,42306,exact
1706,17,1398,2019-2020,Badakhshan,6,Baharak,15921,16070,31991,,,,15921,16070,31991,exact
