station_id,polling_id,delta,Ashraf Ghani Ahmadzai,Dr. Abdullah Abdullah,Hamed Karzai,Ramazan Bashardost,other
5336,101164,2,21,25,157,102,15
5337,101164,3,12,29,112,123,22
5338,101164,4,6,32,163,177,18
5339,101167,1,16,12,67,4,2
5340,101167,2,22,19,65,7,4
5341,101167,3,19,18,70,3,6
5342,101167,4,5,15,55,2,3
5343,101166,1,22,0,167,8,11
5344,101166,2,12,45,142,10,5
5345,101166,3,17,33,141,10,20
5346,101166,4,5,20,69,0,2
5347,101169,1,3,14,53,2,2
5348,101169,2,8,19,58,3,7
5349,101169,3,6,27,45,3,4
5350,101169,4,9,59,91,9,6
5351,101169,5,15,65,116,13,6
5352,101169,6,3,3,36,2,6
5353,101169,7,0,14,45,2,2
5354,101168,1,12,37,128,7,8
5355,101168,2,9,30,117,8,13
5356,101168,3,21,45,110,9,15
5357,101168,4,11,18,57,2,4
5358,101168,5,4,14,63,1,2
5359,1608158,1,2,17,113,1,14
5360,1608158,2,1,14,123,1,10
5361,1608158,3,0,0,287,0,1
5362,1608159,1,1,46,62,8,9
5363,1608159,2,0,52,60,9,0
5364,1608152,1,1,99,175,11,27
5365,1608152,2,1,143,208,11,21
5366,1608152,3,0,154,287,13,14
5367,1608153,1,10,111,300,2,25
5368,1608153,2,16,126,285,11,32
5369,1608153,3,1,72,313,1,22
5370,1608150,1,1,248,11,2,13
5371,1608150,2,0,98,0,0,5
5372,1608151,1,3,220,19,10,10
5373,1608151,2,3,144,15,14,5
5374,1608151,3,3,268,33,0,0
5375,1608156,1,0,177,6,2,2
5376,1608156,2,1,79,4,1,3
5377,1608156,3,1,206,1,0,2
5378,1608157,1,0,14,395,2,11
5379,1608157,2,0,23,307,5,5
5380,1608157,3,1,26,542,0,6
5381,1608154,1,1,195,23,3,18
5382,1608154,2,0,220,24,2,16
5383,1608154,3,2,185,25,0,20
5384,1608155,1,0,27,169,2,48
5385,1608155,2,2,11,97,2,24
