"Province","District ID","Polling Center Name and Location","PC Code","Estimated Voters","Total PS","Male","Female","Kuchi"
"Kabul",101,"ayob khan mina,ayob khan masque",101133,1500,3,2,1,0
"Kabul",101,"wasal abad,omara khan high school",101139,3700,7,5,2,0
"Kabul",101," private house",101144,2100,4,2,2,0
"Kabul",101,"qala afshar,ghzi abdullah high school",101134,3600,6,4,2,0
"Kabul",101," Reshkhor Primary School. ",101137,3200,6,4,2,0
"Kabul",101,"tani kot,technical institute",101127,4900,9,6,3,0
"Kabul",101,"bagh rayees,sultan razia girls school",101130,4900,9,5,4,0
"Kabul",101,"deh dana,deh dana high school",101141,5400,10,6,4,0
"Kabul",101,"9 borja chahlsiton,chahal siton high school",101135,4200,7,4,3,0
"Kabul",101," Masjid Qala-e-Usman Khan located in Qala-e-Fatu area.",101489,2200,5,3,2,
"Kabul",101,"darlaman road,habibya high school",101132,5000,9,6,3,0
"Kabul",101,"chahalsitoon vilage,eid gah masque",101142,1500,3,2,1,0
"Kabul",101," Faizani Sahib Primary School. ",101128,5400,9,6,3,0
"Kabul",101,"chahalsitoon raod,khoshalkhan high school",101125,4900,9,7,2,0
"Kabul",101,"shah shaheed khas,shahshaheed khas sacandary school",101171,4400,8,5,3,0
"Kabul",101,"qalacha,abdulhai habibi high school",101146,6800,12,8,4,0
"Kabul",101,"shah shaheed,tapa balkh masque",101167,2000,4,3,1,0
"Kabul",101,"karti now,ahmady masque",101158,2200,4,2,2,0
"Kabul",101,"first raod shahshaheed,teacher bitaab high school",101156,4400,8,4,2,2
"Kabul",101,"Ashabe Keram Masjid located , Logar road. ",101492,2000,4,3,1,
"Kabul",101,"sari tapa karti now,sayed noor muhammad shah mina sacandary school",101147,5500,10,5,3,2
"Kabul",101,"sarak 3 karti now,sayed noor muhammad shah mina high school",101149,3600,6,4,2,0
"Kabul",101,"etifaq masque,aamina fedawy girls high scool",101162,2000,4,3,1,0
"Kabul",101,"  2nd Usman Ghani Masjid ,Sarake Naw",101175,2000,4,2,2,0
"Kabul",101," Shahrak-e-Telayee Masjid ",101154,2700,5,3,2,0
"Kabul",101,"karti now,zakhail haa masque",101159,2000,4,3,1,0
"Kabul",101,"Abdul Qadir Jialani",101168,2700,5,3,2,0
"Kabul",101,"aab rasaani,ghows azam dastagir masque",101165,2000,4,3,1,0
"Kabul",101,"qalacha, ranga masque",101173,2000,4,2,2,0
"Kabul",101,"Qandahari Ha Masjid ",101163,2000,4,3,1,0
"Kabul",101,"karti now,osman ghani masque",101160,2000,4,3,1,0
"Kabul",101,"baghcha sayeed,qala hashmat khan sac school",101148,5900,10,5,3,2
"Kabul",101,"raod 3 rahman mina,sayed noor muhammad sha mina sacandary  school",101153,3800,7,4,3,0
"Kabul",101,"qalacha,qala now masque",101164,2000,4,3,1,0
"Kabul",101,"karti now,omar farooq masque",101161,2000,4,3,1,0
"Kabul",101,"karti now,muhammdia masqu",101157,2000,4,2,2,0
"Kabul",101,"Masjid is Abu Baker Sediq (PBUH).",101491,1500,3,2,1,
"Kabul",101,"etifaq masque,etifaq masque,",101166,2000,4,3,1,0
"Kabul",101,"200 family,rahman mina sacandary school",101151,6000,10,5,3,2
"Kabul",101,"etifaq masque,aamina fedawy girls high scool",101155,5000,9,5,4,0
