id,name,distId,provId,lon,lat,ps_total,ps_male,ps_female
1801033,Ochqadaq,1801,18,69.62556305,36.78475052,3,2,1
1802038,Khwaja Lamtoo Mosque,1802,18,69.68538256,36.90286679,2,1,1
1802039,Qala Mama Ye School,1802,18,69.61232873,36.98979419,2,1,1
1804062,Etihad High School,1804,18,69.3418959,36.66492815,8,5,3
1804063,Mansoor Shaheed High School,1804,18,69.3587132,36.58588341,4,2,2
2703086,Tbc Clinic,2703,27,65.926926358,31.426069541,3,2,1
2704175,Talgaan Camp,2704,27,65.32078235,31.4497751800001,2,1,1
2704176,Shar Ali Camp,2704,27,65.2578358100001,31.4666463,2,1,1
2704180,Shamsuddin Kakar School,2704,27,65.45488092,31.54288046,4,4,0
2705155,6Th Camp School,2705,27,65.3981945200001,31.67175419,2,1,1
2705156,5Th Camp School,2705,27,65.4993206600001,31.62737545,2,1,1
2711205,Doctar Mohammad Dawood Private House,2711,27,66.4339183100001,30.96608532,6,5,1
2711227,Haji Kamaluddin Private House,2711,27,66.41453319,30.98503304,6,4,2
2716196,Sher Shah School,2716,27,65.64584103,29.7877545900001,7,4,3
2716197,Kaami School,2716,27,65.07035892,29.58181044,6,4,2
2717064,Zakir Sharif School,2716,27,65.65040373,31.58133525,6,4,2
2718237,Peer Mohammad Private House,2716,27,65.836688262,31.39352192,8,4,4
2718238,Camp School,2716,27,65.712426147,31.477177611,8,4,4
2801025,Afghan Tapa High School,2801,28,65.7963583100001,36.53147198,6,4,2
2801026,Chaharshanba Secondary School,2801,28,65.83629619,36.73310635,5,3,2
2801027,Lab Jar Khurasan Secondary School,2801,28,65.70772241,36.66211309,3,2,1
2801028,Chobash Kalan Secondary School,2801,28,65.751975004,36.681679035,3,2,1
2801031,Shakarak Secondary School,2801,28,65.75134211,36.60177472,3,2,1
2801032,Hassan Tabeen High School,2801,28,65.76944668,36.61539363,3,2,1
2803118,Bakawal Turkmania Mosque,2803,28,66.1010083200001,36.88280696,2,1,1
2803119,Aleek Rabat Secondary School,2803,28,66.1083676900001,36.84241831,3,2,1
2805090,Choqma Chaqoor School,2805,28,65.46201696,36.16901708,4,2,2
2805091,Jarqadoq School,2805,28,65.48422199,36.30457647,4,3,1
2807038,Aaqcha Girls High School,2807,28,66.1831244,36.91258154,4,2,2
2807039,Abu Bakr Sediq Mosque,2807,28,66.1890613300001,36.9065459,4,2,2
2808052,Bala Mardiyan Boys High School,2808,28,66.4924709200001,36.92369511,3,2,1
2808053,Noor Abad Secondary School,2808,28,66.3857985600001,36.8228141700001,2,1,1
2809063,Hindukush Primary School,2809,28,66.26745896,36.89846106,3,2,1
2809064,Farok Qala Secondary School,2809,28,66.35597865,37.0248729900001,2,1,1
2809068,Saltaq School,2809,28,66.3116486100001,36.86096946,2,1,1
2810080,Makhdoom Qali Faraghi High School,2810,28,66.03388355,37.41319326,9,6,3
2810081,Joy Sarai Secondary School,2810,28,66.06893117,37.4044510200001,4,3,1
2810082,Kok Secondary School,2810,28,66.192821144,37.3455302830001,2,1,1
2811096,Darzaab Boys High School,2811,28,65.38575476,35.97807055,4,3,1
2811097,Abu Zar Ghaffari School,2811,28,65.39607937,35.97869227,3,2,1
2811102,Tash Jawaz School,2811,28,65.48009886,36.02757456,3,2,1
2801011,Kok Gunbad Girls High School,2801,28,65.76628845,36.64339751,6,4,2
2801012,Arab Khana High School,2801,28,65.77724422,36.65605427,8,5,3
2801020,Aalti Khwaja High School,2801,28,65.79870492,36.65051478,6,4,2
2801021,Qara Kent Boys High School,2801,28,65.8123692600001,36.55976264,5,3,2
2802112,Chob Bash High School,2802,28,65.6323822200001,36.75863461,3,2,1
2803120,Khanqah Uzbekya Girls High School,2803,28,66.1699978400001,36.869482016,3,2,1
2804072,Safar Wali Awal School,2804,28,66.06001537,37.06251246,3,2,1
2804075,Qowenli Muhajir School,2804,28,65.96813097,37.03736691,2,1,1
2804076,Sultan Areegh School,2804,28,66.05047808,36.91876332,3,2,1
2804079,Qara-E-Adeek Mosque,2804,28,65.9458042,37.07302692,2,1,1
2805088,Sher Bek School,2805,28,65.37244852,36.06262223,6,4,2
