id,name,distId,provId,lat,lon,closed,ps_female,ps_male,ps_total
1504035,Kotki Village Mosque,1504,15,34.73944444,71.00861111,0,1,2,3
1504036,Qalawona Village Mosque,1504,15,34.76138386,71.00274093,0,1,2,3
1514088,Senzo Village Mosque,1514,15,34.6320833400001,70.74947696,0,2,2,4
1608069,Pasigram Village Mosque,1608,16,35.7531751000001,71.19673235,0,1,1,2
1608070,Ganjolok Shal ,1608,16,35.79249954,71.24670768,0,1,2,3
1902117,Gharo Qeshlaq High School,1902,19,36.6485806000001,68.837517,0,2,4,6
1902118,Amir Mohammad Shinwari Mosque,1902,19,36.6596179600001,68.8338495400001,0,1,2,3
1904155,Wadan Kalai Secondary School,1904,19,36.645819,69.15790724,0,1,1,2
1904156,Zangi Say Primary School,1904,19,36.44235409,69.12034998,0,1,1,2
1905069,Ismail Qashlaq Secondary School,1905,19,37.1792380900001,68.97763517,0,1,3,4
1905070,Hechkalai School,1905,19,37.1883554000001,69.0304179500001,0,1,1,2
1906194,Qara Ghoshi Pashtonia Mosque,1906,19,36.92924731,69.2532602300001,0,1,1,2
1906195,Wazir Khan School,1906,19,36.95291021,69.15811382,0,1,1,2
2101003,Mazar Municipality Office,2101,21,36.7071374500001,67.1148346800001,0,1,3,4
2101004,Ghazi Amanullah High School,2101,21,36.7203425000001,67.08633998,0,2,3,5
2101012,Tajrobawi High School,2101,21,36.7202563200001,67.10846555,0,1,1,2
2101013,Maqsoodullah Shaheed School,2101,21,36.72233349,67.1290529200001,0,1,1,2
2101027,Ghulam Rasool Sanaye School,2101,21,36.7076361600001,67.1248102100001,0,1,2,3
2101028,Torabi School,2101,21,36.6709933400001,67.1018591000001,0,2,2,4
2101032,Setara High School,2101,21,36.7170972500001,67.1332855900001,0,2,3,5
2101033,Bukhdi Boys Secondary School,2101,21,36.72676785,67.1171567500001,0,2,3,5
2102064,Abul Motee Balkhi School,2102,21,36.7289741260001,67.03688461,0,2,3,5
2102065,Mohammad Yosuf Khairkhowah High School,2102,21,36.7233015300001,67.0646792000001,0,1,3,4
2108216,Paloo Zolai School,2108,21,36.6549621800001,66.79414987,0,1,2,3
2108217,Emam Sahib Awal School,2108,21,36.66181372,66.5120129800001,0,1,1,2
2205108,Shahr-E-Kuhna Takzar Boys Secondary School,2205,22,35.9498320700001,66.41758237,0,2,2,4
2205109,Baharak Village Mosque,2205,22,35.8959049200001,66.4106050300001,0,1,1,2
2306093,Khum Mosque,2306,23,34.3756719000001,64.6169057600001,0,1,1,2
2306094,Yaka Bed School,2306,23,34.1216179600001,64.2101637200001,0,1,1,2
2401006,Mesh Sufla Mosque,2401,24,33.7688089000001,66.1061794700001,0,2,1,3
2407149,Darghala Charkh Mosque,2407,24,33.87799773,66.6255673800001,0,1,2,3
2407150,Bazar Joz Mosque,2407,24,33.8766885500001,66.59453082,0,1,2,3
2504033,Haidar Village Madrassa,2504,25,32.9330546100001,65.5631485500001,0,1,3,4
2504034,Najo Shah Mashhad Mosque,2504,25,32.9239070200002,65.5389725000001,0,1,3,4
2907101,Sufi Qala Boys School,2907,29,35.6991337500002,64.2438173000001,0,1,1,2
2907102,Khwaja Hai Borghan Mosque,2907,29,35.65963422,64.35044185,0,2,1,3
3001006,Hashim Khan Mosque,3001,30,31.6230334900001,64.3562417900001,0,4,0,4
3001007,Lashkar Bazar Sharqi Primary School,3001,30,31.5899107700001,64.41074655,0,0,5,5
3207194,Chel Dukhtar Duowm Mosque,3207,32,35.1187388800001,62.30583333,0,2,0,2
3210422,Galla Chaghar Paheen Zananah- Mosque,3210,32,34.7467832800001,62.77784887,0,2,0,2
3210423,Nazdik-E- Chah  Khwaja Alkhand School ,3210,32,34.85568178,62.7517156500001,0,1,1,2
3212381,Rubat-E-Akhond Zanana Girls School ,3212,32,34.2696169040001,62.9607403550001,0,2,0,2
3212382,Chenaran Boys School,3212,32,34.27262512,62.99349364,0,0,3,3
3216390,Sar Tagab Mosque,3216,32,34.35460399,63.7404864800001,0,1,1,2
3216391,Kabotar Khan Mosque ,3216,32,34.33191717,63.7161288600001,0,1,1,2
3216400,Bagh-E-Besmellah Open Space,3216,32,34.4707611100001,64.0544888800001,0,1,1,2
3216401,Bagh-E-Haji Mohammad Rahim Open Space,3216,32,34.29294722,63.98197222,0,1,1,2
3311206,Ejan Mosque  ,3311,33,32.98412754,64.12575186,0,1,1,2
3406056,Pozagi ,3405,34,32.17608693,63.51668076,0,1,1,2
101047,Rabia Balkhi High School,101,1,34.5085943300001,69.14718442,0,2,3,5
101154,Shahrak-E-Talaie Mosque,101,1,34.5131819500001,69.21789959,0,2,3,5
301036,Masoud Buzurg High School,301,3,34.95031483,69.09197061,0,1,2,3
802024,Hasarak Mosque,802,8,35.23199563,69.5024826000001,0,1,1,2
802025,Marshtan Mosque,802,8,35.2579865600001,69.4860614500001,0,1,1,2
901012,Khwaja Kamal Wali School,901,9,35.98081719,68.6807276900001,0,1,1,2
1111193,Bilandghan Village Mosque,1111,11,33.4184891400001,68.0090402400001,0,1,2,3
1111194,Sultan Mahmood Ghaznawi High School,1111,11,33.20082394,68.10180766,0,0,2,2
1715157,Takya High School,1715,17,36.84113937,70.08185905,0,1,2,3
1715158,Namazgah School,1715,17,36.76795245,70.14609529,0,1,2,3
1717172,Koree School,1717,17,36.5639488900001,70.3191717500001,1,1,1,2
1809057,Shahrwan Bagh Abdul Shakoor,1809,18,37.055228244,69.3984044270001,0,1,1,2
1809058,Saaf Qarooq School,1809,18,37.03369,69.3644,0,1,1,2
1904174,Arab Qadaq School,1904,19,36.5308333300001,69.1236111100001,0,1,1,2
1904175,Lala Kai Secondary School,1904,19,36.51872131,69.15901857,0,1,2,3
2003078,Ghazi Mard Primary School,2003,20,35.95907792,68.0369381500001,0,2,1,3
2003079,Sayed Jamaluddin High School,2003,20,35.9967387700001,68.0576452300001,0,1,2,3
2101036,Hashim Barat High School,2101,21,36.7236746000001,67.1035692500001,0,3,4,7
2101037,Naw Bahar School,2101,21,36.72754175,67.0962043,0,2,3,5
