id,name,provId,geoId,totalPopulation,observersFirstRound,observersRunOff
3305,Shib Koh,33,3305,"22,700",10,19
3309,Lash-e-Juwayn,33,3309,"27,100",26,7
3310,Gulestan,33,3310,"42,200",0,3
3311,Pur Chaman,33,3311,"52,000",17,0
3307,Anar Dara,33,3307,"27,100",14,18
3001,Lashkar Gah,30,3001,"100,200",59,109
3004,Nahr-e-Saraj,30,3004,"114,200",32,46
3002,Nad-e-Ali,30,3002,"88,600",23,32
3003,Nawa-e-Barak Zaiy,30,3003,"90,400",22,35
3008,Sangin,30,3008,"58,100",15,0
3009,Musa Qaleh,30,3009,"57,500",15,0
3007,Naw Zad,30,3007,"49,500",10,0
3005,Wa Sher,30,3005,"15,200",0,2
3006,Garm Ser,30,3006,"85,500",16,21
3010,Kajaki,30,3010,"69,300",0,0
3012,Baghran,30,3012,0,0,0
3011,Reg(khan Neshin),30,3011,"25,600",12,0
3013,Deh shu,30,3013,0,0,0
2701,Kandahar,27,2701,"491,500",60,161
2702,Arghandab,27,2702,"60,200",20,32
2705,Zheray,27,2705,"83,400",16,29
2704,Panj wayi,27,2704,"84,700",16,38
2703,Daman,27,2703,"33,700",24,30
2706,Shah Wali Kot,27,2706,"42,200",10,11
2707,Khakrez,27,2707,"22,200",13,9
2710,Maywand,27,2710,"57,000",16,15
2716,Reg,27,2716,"8,700",0,8
2714,Shor Abak,27,2714,"11,200",0,0
2711,Spin Boldak,27,2711,"97,800",16,60
2708,Arghistan,27,2708,"33,400",16,15
2713,Miyanshin,27,2713,"14,600",16,0
2712,Nesh,27,2712,"13,000",0,0
2709,Ghorak,27,2709,"9,400",5,0
2715,Maruf,27,2715,"32,100",16,0
3401,Zaranj,34,3401,"54,900",44,69
3402,Kang,34,3402,"21,800",18,23
3404,Chahar Burjak,34,3404,"25,700",12,22
3403,Chakhansur,34,3403,"23,100",8,28
3405,Khash Rod,34,3405,"24,700",6,20
1312,Laja Mangal,,1312,0,16,2
808,Abshar,,808,0,10,8
2718,Takhta Pul,,2718,0,0,4
2717,Dand,,2717,0,24,2
2506,Chenarto,,2507,0,2,4
1313,Meerzaka,,1313,0,22,9
3014,Marja,,3014,0,0,25
3406,Delaram,,3406,0,0,18
