id,name,ballotNumber,gender,party,incumbent
1-1303-53,Samimullah sultani,461,M,Ind,
1-1304-60,Abdul Latif Nazari,705,M,Ind,
1-1305-89,Dr. Ramazan Bashardost,788,M,Ind,
1-1306-43,Zabiullah Almas,639,M,Ind,
1-1307-26,Abdul Hamed Hamidi,73,M,Ind,
1-1308-15,Shafiqullah Salim poya,250,M,Ind,
1-1309-5,Masooma Tawasoli,523,F,Ind,
1-1310-37,Mohammad Lais Andar,55,M,Ind,
1-1311-6,Sayed Akbar Shah Hashemi,182,M,Ind,
1-1312-49,Kheyal Mohammad Khpelwak,545,M,Ind,
1-1313-64,Haji Mohammad Zaman Rajabi,155,M,Ind,
1-1314-33,Mohammad Younus Nawandesh,651,M,Ind,
1-1315-24,Sayed Saifullah Sadat,17,M,Ind,
1-1316-2,Mohmood Hanif,264,M,Ind,
1-1317-101,Bibi Kubra Mustafawi,102,F,Ind,
1-1318-53,Mohammad Zaki Noori,744,M,Ind,
1-1320-153,Hamed Haqdost,801,M,Ind,
1-1321-71,Aashna Gull Bandawal,169,M,Ind,
1-1322-27,Dr. Abdul Ghafoor Taban,736,M,Ind,
1-1323-113,Alhaj Mohammad Hashem Karimi,664,M,Ind,
1-1324-1020,Abdul Qayoum Naderi,448,M,Ind,
1-1325-39,Abdul Hafiz Mansoor,165,M,Ind,
1-1326-29,Haji Ali Mirzaye,636,M,Ind,
1-1327-64,Eng. Zabiullah Zeyarmal,793,M,Ind,
1-1328-79,Fahima Babakarkhel,175,F,Ind,
1-1329-99,Alhaj Mohammad Alem Khalili,548,M,Political party,
1-1330-1,Royena Jalali,19,F,Ind,
1-1331-29,Mohammad Haroon Formoli,532,M,Ind,
1-1332-96,Ghullam Mohammad Kamawal,251,M,Ind,
1-1333-55,Abdul Hadi Naseri,454,M,Ind,
1-1334-24,Masood Shah,698,M,Ind,
1-1335-19,Dr. Mohammad Asef Hekmat,621,M,Ind,
1-1336-22,Ghullam Habib Fawad,64,M,Ind,
1-1337-150,Jamaluddin Hekmatyar,659,M,Ind,
1-1338-40,Assadullah Azizi,609,M,Ind,
1-1339-28,Deplom Eng. Ghullam Ali,70,M,Ind,
1-1340-8,Aminullah Patyani,752,M,Ind,
1-1341-27,Mohammad Edris Rasooli,259,M,Ind,
1-1342-1037,Nazer Hussain Hussainpor,672,M,Ind,
1-1343-117,Enyatullah Didar,699,M,Ind,
1-1344-142,Dr. Fazel Khaleq Sheja,310,M,Ind,
1-1345-105,Dr. Mohammad Younus Karimi,604,M,Ind,
1-1346-1017,Commander Mir Alam Haqpal,569,M,Ind,
1-1347-149,Ustad Hassina Sahak,598,F,Ind,
1-1348-181,Dr. Ghullam Dastgir Elyas,552,M,Ind,
1-1349-123,Eng. Naqibullah Naseri,321,M,Ind,
1-1350-81,Hazrat Yousuf Zemarai Ahmadzai,712,M,Ind,
1-1351-1158,Parwana Zamani,729,F,Ind,
1-1352-1058,Farzana Rezaye,3,F,Ind,
1-1353-150,Ghullam Yahya Yousufi,798,M,Ind,
1-1354-109,Mohammad Aalem Kohkan,635,M,Ind,
1-1355-173,Mohammad Nayem Haqmal,308,M,Ind,
1-1356-1091,Malek Haji Azim shinwarzadah,248,M,Ind,
1-1357-1082,Mohammad Musa Ibrahimkhel,38,M,Ind,
1-1359-3057,Mohammad Edris Stanikzai,148,M,Ind,
1-1361-122,Mohammad Haroon Motaref,481,M,Ind,
1-1362-1094,Mohammad Dawood Shadan,504,M,Ind,
1-1363-1188,Noor Ahmad Noori Shaki,542,M,Ind,
1-1364-1092,Arian Khaibar,23,M,Ind,
1-1365-1108,Abdul Khaibar Hotak,474,M,Ind,
1-1366-1212,Sayed Abdullah Sadat,360,M,Ind,
1-1368-178,Nasima Neyazai,19,F,Ind,
1-1369-122,Nooria Munsef,709,F,Ind,
1-1371-3059,Dr. Ali Asghar Paiman,784,M,Political party,
1-1372-3070,Noor Habib Hasir,654,M,Ind,
1-1373-3061,Shahla Naseri Barikzai,260,F,Ind,
1-1374-1190,Arefa Urfan,414,F,Ind,
1-1375-1180,Mohammad Azim,710,M,Ind,
1-1376-1203,Qudsia Alokozai,350,F,Ind,
1-1377-119,Saranwal Abdul Jalil Mudafe,695,M,Ind,
1-1378-159,Khaleqdad Balaaghi,204,M,Ind,
1-1379-1098,Abdul Razaq Hakimi,373,M,Ind,
1-1380-50,Aqil Shah Elyasi,650,M,Ind,
1-1381-29,Alhaj Tamiz Khan Mahmoodzai,82,M,Ind,
1-1382-30,Roqia Alemi Balkhi,232,F,Ind,
1-1383-171,Pashtana Arabzai,404,F,Ind,
1-1384-57,Ahmad Zia Azimi Shinozadah,585,M,Ind,
1-1385-26,Mustafa Nikzad,263,M,Ind,
1-1386-1050,Mohammad Yaser Emar,502,M,Ind,
1-1387-1081,Mohammad sharif Omarzai,281,M,Ind,
1-1388-1192,Mariam Maroof Arwin,44,F,Ind,
1-1389-68,Feda Mohammad Ulfat Saleh,297,M,Ind,
1-1390-44,Mohammad Mukhtar Sharifi,258,M,Ind,
1-1391-134,Alhaj Mohammadullah Ahmadi Safi,493,M,Ind,
1-1392-27,Khan Mohammad Khuram,431,M,Ind,
1-1393-12,Alhaj Del Aqa Hemat,563,M,Ind,
1-1394-1031,Alhaj Lutfullah Haqbin,758,M,Ind,
1-1395-1072,Dr. Ahmad Wahid Khalid,627,M,Political party,
1-1396-95,Emal Mahmoodzada,443,M,Ind,
1-1397-24,Dr. Sayed Ibrahim Kaamel,769,M,Ind,
1-1398-9,Mohammad Baqer Mohaqeq,358,M,Political party,
1-1399-63,Habib Zaki Rohgar,173,F,Ind,
1-1400-15,Shayesta Saleh,29,F,Ind,
1-1401-56,Abdul Ghafar Baator,777,M,Ind,
1-1402-42,Mohammad Edris Sediq,18,M,Ind,
1-1403-18,Eng. Mutasel Khan Komaki,719,M,Ind,
1-1404-1012,Sherabuddin Sayar,673,M,Ind,
1-1405-112,Abdul Ghafar Faizi Zadran,10,M,Ind,
1-1406-13,Sayed Nasratullah Qubadi,802,M,Ind,
1-1407-113,Abida Homa Azizi,40,F,Ind,
1-1408-111,Mohammad Shafiq Basharyar,209,M,Ind,
1-1409-1030,Sayed Jawid Andesh,447,M,Ind,
1-1410-39,Ghazi Khan Dr. Naqib,751,M,Ind,
1-1411-124,Mirwais Rahimzoi,797,M,Ind,
1-1412-86,Mohammad Hakim Belali,331,M,Ind,
1-1413-184,Karimullah Akhondzadah,189,M,Ind,
1-1414-130,Saheb Haq Meyakhel,311,M,Unlisted,
1-1415-1169,Mohammad Qayoum Khostwal,27,M,Ind,
1-1416-139,Assadullah Karimi,670,M,Ind,
1-1417-1026,Mohammad Sediq Kuchi,6,M,Ind,
1-1418-7,Sayed Naser Mosawi,468,M,Ind,
1-1419-20,Mohammad Hanif Sayar,221,M,Ind,
1-1420-6,Sayed Maroof Hashemi Jahed,748,M,Ind,
1-1421-196,Najiba Fetrat,625,F,Ind,
1-1422-3066,Jumma Khan Mohammadi,14,M,Ind,
1-1423-99,Mohammad Haidari,262,M,Ind,
1-1424-173,Shaima Rahimi,132,F,Ind,
1-1425-48,Gen. Khalil Rahman Aamel,279,M,Ind,
