id,name,provId,geoId,registeredMen,registeredWomen,registeredTotal,femalePopulationRural,malePopulationRural,totalPopulationRural,femalePopulationUrban,malePopulationUrban,totalPopulationUrban,totalPopulationFemale,totalPopulationMale,totalPopulation
1905,Imam Sahib,19,1905,25971,15163,41134,89192,92276,181468,19333,19455,38788,108525,111731,220256
1906,Dasht-e-archi,19,1906,5951,3323,9274,43859,45063,88922,1723,1931,3654,45582,46994,92576
1907,Qala-e-zal,19,1907,1242,1340,2582,27444,28373,55817,10313,10486,20799,37757,38859,76616
1908,Kalbad,19,1908,,,,16864,17878,34742,,,,16864,17878,34742
1909,Gurtipa,19,1909,,,,5017,5320,10337,,,,5017,5320,10337
1910,Aqtash,19,1910,3220,1560,4780,12926,13703,26629,,,,12926,13703,26629
2001,Aybak,20,2001,17256,15527,32783,39883,41853,81736,16457,15868,32325,56340,57721,114061
2002,Hazrat-e-sultan,20,2002,8736,8525,17261,21801,23366,45167,,,,21801,23366,45167
2003,Khuram Wa Sarbagh,20,2003,4816,4556,9372,21289,22210,43499,,,,21289,22210,43499
2004,Feroz Nakhcher,20,2004,2651,3375,6026,6925,7318,14243,,,,6925,7318,14243
2005,Roy-e-doab,20,2005,9725,9955,19680,23852,25934,49786,,,,23852,25934,49786
2006,Dara-e-sof-e-payin,20,2006,12529,6338,18867,37830,40184,78014,,,,37830,40184,78014
2007,Dara-e Sof-e-bala,20,2007,14887,15256,30143,34882,35691,70573,,,,34882,35691,70573
2102,Nahr-e-shahi,21,2102,14344,12782,27126,23981,25035,49016,,,,23981,25035,49016
2103,Dehdadi,21,2103,15062,11990,27052,35907,37745,73652,,,,35907,37745,73652
2104,Char Kint,21,2104,12529,7331,19860,23596,24906,48502,,,,23596,24906,48502
2105,Marmul,21,2105,5282,3872,9154,6156,6291,12447,,,,6156,6291,12447
2106,Balkh,21,2106,20885,17810,38695,56042,58030,114072,8453,8693,17146,64495,66723,131218
2107,Sholgareh,21,2107,23536,23606,47142,55272,57901,113173,5729,5795,11524,61001,63696,124697
2108,Chimtal,21,2108,10774,8317,19091,49117,50969,100086,,,,49117,50969,100086
2109,Dawlatabad,21,2109,9417,8474,17891,50271,52637,102908,5874,6071,11945,56145,58708,114853
2110,Khulm,21,2110,10565,9144,19709,11927,12453,24380,27220,27871,55091,39147,40324,79471
2111,Char Bolak,21,2111,10194,6743,16937,43345,45063,88408,,,,43345,45063,88408
2112,Shortepa,21,2112,7129,2234,9363,21032,22211,43243,,,,21032,22211,43243
2113,Kaldar,21,2113,5227,3104,8331,10644,11170,21814,,,,10644,11170,21814
2114,Kishindeh,21,2114,11731,8839,20570,26033,27089,53122,,,,26033,27089,53122
2115,Zari,21,2115,17197,10609,27806,23468,24393,47861,,,,23468,24393,47861
2201,Sar-e-pul,22,2201,26043,22669,48712,66557,70354,136911,16617,16971,33588,83174,87325,170499
2202,Sayad,22,2202,3641,2746,6387,28726,30812,59538,,,,28726,30812,59538
